arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
build/lib/datachain/checkpoint.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/error.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/nodes_fetcher.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/plugins.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/telemetry.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/catalog/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/cli/commands/du.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/cli/commands/index.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/cli/commands/misc.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/cli/commands/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/cli/parser/pipeline.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/cli/parser/skill.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/cli/parser/studio.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/cli/parser/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/client/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/data_storage/job.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/data_storage/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/fs/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/func/base.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/func/path.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/func/random.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/func/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/lib/tar.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/lib/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/lib/convert/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/lib/dc/parquet.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/lib/dc/values.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/lib/dc/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/model/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/model/ultralytics/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/query/queue.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/query/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/remote/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/skill/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/skill/jobs/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/skill/jobs/scripts/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/skill/knowledge/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/skill/knowledge/scripts/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/postgresql_dialect.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/postgresql_types.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/default/base.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/default/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/functions/aggregate.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/functions/array.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/functions/conditional.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/functions/numeric.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/functions/path.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/functions/random.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/functions/string.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/functions/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/sql/sqlite/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/toolkit/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
build/lib/datachain/torch/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
examples/computer_vision/ultralytics-bbox.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
examples/computer_vision/ultralytics-pose.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
examples/computer_vision/ultralytics-segment.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
examples/get_started/common_sql_functions.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
examples/multimodal/wds.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/checkpoint.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/error.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/nodes_fetcher.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/plugins.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/telemetry.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/catalog/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/cli/commands/du.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/cli/commands/index.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/cli/commands/misc.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/cli/commands/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/cli/parser/pipeline.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/cli/parser/skill.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/cli/parser/studio.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/cli/parser/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/client/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/data_storage/job.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/data_storage/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/fs/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/func/base.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/func/path.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/func/random.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/func/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/lib/tar.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/lib/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/lib/convert/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/lib/dc/parquet.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/lib/dc/values.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/lib/dc/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/model/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/model/ultralytics/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/query/queue.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/query/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/remote/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/skill/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/datachain/skill/jobs/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
