arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
extract_metrics_before_radon.py,funcao,normalizar_caminho,0,0,0,0,0,0,0,0,0,0,0,0
extract_metrics_before_radon.py,funcao,rodar_radon,0,0,0,0,0,0,0,0,0,0,0,0
extract_metrics_before_radon.py,funcao,extrair_funcoes,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
extract_metrics_before_radon.py,funcao,salvar_csv,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
noxfile.py,funcao,log_installed_packages,0,0,0,0,0,0,0,0,0,0,0,0
noxfile.py,funcao,docs,0,0,0,0,0,0,0,0,0,0,0,0
noxfile.py,funcao,bench,0,0,0,0,0,0,0,0,0,0,0,0
noxfile.py,funcao,tests,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
noxfile.py,funcao,e2e,0,0,0,0,0,0,0,0,0,0,0,0
noxfile.py,funcao,lint,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
noxfile.py,funcao,build,0,0,0,0,0,0,0,0,0,0,0,0
noxfile.py,funcao,examples,0,0,0,0,0,0,0,0,0,0,0,0
docs/api_hooks.py,funcao,on_pre_build,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
examples/computer_vision/iptc_exif_xmp_lib.py,funcao,cast,0,0,0,0,0,0,0,0,0,0,0,0
examples/computer_vision/iptc_exif_xmp_lib.py,funcao,image_description,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
examples/computer_vision/llava2_image_desc_lib.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
examples/computer_vision/llava2_image_desc_lib.py,funcao,process,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
examples/computer_vision/openimage-detect.py,funcao,openimage_detect,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
examples/computer_vision/ultralytics-bbox.py,funcao,process_bboxes,0,0,0,0,0,0,0,0,0,0,0,0
examples/computer_vision/ultralytics-pose.py,funcao,process_poses,0,0,0,0,0,0,0,0,0,0,0,0
examples/computer_vision/ultralytics-segment.py,funcao,process_segments,0,0,0,0,0,0,0,0,0,0,0,0
examples/get_started/json-csv-reader.py,funcao,main,0,0,0,0,0,0,0,0,0,0,0,0
examples/get_started/nested_datamodel.py,funcao,generate_sample_metrics,0,0,0,0,0,0,0,0,0,0,0,0
examples/get_started/nested_datamodel.py,funcao,main,0,0,0,0,0,0,0,0,0,0,0,0
examples/get_started/torch-loader.py,funcao,__init__,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
examples/get_started/torch-loader.py,funcao,forward,2,4,3,5,6,8,10.0,20.6797,1.25,25.8496,1.4361,0.0069
examples/get_started/udfs/parallel.py,funcao,fibonacci,3,5,4,8,8,12,16.3645,36.0,2.4,86.4,4.8,0.012
examples/get_started/udfs/parallel.py,funcao,path_len_benchmark,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
examples/get_started/udfs/simple.py,funcao,path_len,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
